0.0000E+00  0.3950E+00  0.3895E+00  0.3802E+00  0.3658E+00  0.3604E+00  0.3448E+00  0.3400E+00  0.3316E+00  0.3240E+00  0.3122E+00  0.3042E+00  0.2985E+00  0.2892E+00  0.2815E+00  0.2762E+00  0.2699E+00  0.2602E+00  0.2530E+00  0.2496E+00  0.2478E+00  0.2360E+00  0.2334E+00  0.2283E+00  0.2228E+00  0.2170E+00  0.2131E+00  0.2098E+00  0.2040E+00  0.2015E+00  0.1964E+00  0.1926E+00  0.1897E+00  0.1844E+00  0.1844E+00  0.1788E+00  0.1766E+00
0.5000E+00  0.4181E+00  0.4088E+00  0.3999E+00  0.3871E+00  0.3753E+00  0.3656E+00  0.3590E+00  0.3517E+00  0.3426E+00  0.3324E+00  0.3220E+00  0.3178E+00  0.3080E+00  0.3005E+00  0.2920E+00  0.2847E+00  0.2762E+00  0.2721E+00  0.2657E+00  0.2622E+00  0.2541E+00  0.2475E+00  0.2459E+00  0.2370E+00  0.2327E+00  0.2280E+00  0.2207E+00  0.2159E+00  0.2130E+00  0.2096E+00  0.2049E+00  0.2009E+00  0.1977E+00  0.1929E+00  0.1899E+00  0.1868E+00
0.1000E+01  0.4704E+00  0.4685E+00  0.4546E+00  0.4411E+00  0.4373E+00  0.4223E+00  0.4167E+00  0.3985E+00  0.3940E+00  0.3840E+00  0.3768E+00  0.3637E+00  0.3556E+00  0.3475E+00  0.3417E+00  0.3335E+00  0.3246E+00  0.3151E+00  0.3101E+00  0.3050E+00  0.2936E+00  0.2894E+00  0.2843E+00  0.2750E+00  0.2686E+00  0.2656E+00  0.2597E+00  0.2535E+00  0.2507E+00  0.2441E+00  0.2391E+00  0.2346E+00  0.2297E+00  0.2236E+00  0.2216E+00  0.2178E+00
0.1500E+01  0.5563E+00  0.5396E+00  0.5288E+00  0.5179E+00  0.5076E+00  0.4923E+00  0.4872E+00  0.4829E+00  0.4660E+00  0.4535E+00  0.4451E+00  0.4377E+00  0.4193E+00  0.4156E+00  0.4079E+00  0.3987E+00  0.3860E+00  0.3826E+00  0.3726E+00  0.3664E+00  0.3573E+00  0.3481E+00  0.3445E+00  0.3341E+00  0.3301E+00  0.3206E+00  0.3151E+00  0.3096E+00  0.3008E+00  0.2983E+00  0.2935E+00  0.2869E+00  0.2825E+00  0.2728E+00  0.2675E+00  0.2628E+00
0.2000E+01  0.6188E+00  0.6128E+00  0.6046E+00  0.5896E+00  0.5787E+00  0.5719E+00  0.5672E+00  0.5531E+00  0.5429E+00  0.5331E+00  0.5178E+00  0.5045E+00  0.5001E+00  0.4849E+00  0.4843E+00  0.4721E+00  0.4614E+00  0.4563E+00  0.4489E+00  0.4411E+00  0.4326E+00  0.4254E+00  0.4131E+00  0.4008E+00  0.3977E+00  0.3891E+00  0.3808E+00  0.3692E+00  0.3705E+00  0.3630E+00  0.3489E+00  0.3449E+00  0.3395E+00  0.3339E+00  0.3227E+00  0.3213E+00
0.2500E+01  0.6904E+00  0.6750E+00  0.6743E+00  0.6578E+00  0.6497E+00  0.6347E+00  0.6293E+00  0.6231E+00  0.6085E+00  0.6057E+00  0.5894E+00  0.5785E+00  0.5784E+00  0.5597E+00  0.5598E+00  0.5415E+00  0.5397E+00  0.5265E+00  0.5211E+00  0.5169E+00  0.5007E+00  0.4940E+00  0.4878E+00  0.4764E+00  0.4653E+00  0.4649E+00  0.4557E+00  0.4396E+00  0.4307E+00  0.4222E+00  0.4206E+00  0.4167E+00  0.4029E+00  0.3999E+00  0.3904E+00  0.3897E+00
0.3000E+01  0.7515E+00  0.7320E+00  0.7346E+00  0.7206E+00  0.7152E+00  0.7026E+00  0.6930E+00  0.6795E+00  0.6738E+00  0.6707E+00  0.6582E+00  0.6456E+00  0.6432E+00  0.6406E+00  0.6171E+00  0.6086E+00  0.6016E+00  0.5990E+00  0.5916E+00  0.5741E+00  0.5698E+00  0.5639E+00  0.5496E+00  0.5403E+00  0.5403E+00  0.5258E+00  0.5223E+00  0.5153E+00  0.4992E+00  0.4904E+00  0.4878E+00  0.4813E+00  0.4757E+00  0.4615E+00  0.4561E+00  0.4527E+00
0.3500E+01  0.7971E+00  0.7844E+00  0.7756E+00  0.7601E+00  0.7580E+00  0.7564E+00  0.7546E+00  0.7353E+00  0.7325E+00  0.7166E+00  0.7074E+00  0.7006E+00  0.7028E+00  0.6946E+00  0.6812E+00  0.6730E+00  0.6607E+00  0.6515E+00  0.6568E+00  0.6340E+00  0.6394E+00  0.6250E+00  0.6092E+00  0.6081E+00  0.6040E+00  0.5881E+00  0.5788E+00  0.5765E+00  0.5654E+00  0.5644E+00  0.5501E+00  0.5435E+00  0.5402E+00  0.5328E+00  0.5169E+00  0.5168E+00
0.4000E+01  0.8393E+00  0.8238E+00  0.8186E+00  0.8026E+00  0.8047E+00  0.8107E+00  0.7822E+00  0.7845E+00  0.7876E+00  0.7799E+00  0.7554E+00  0.7581E+00  0.7467E+00  0.7429E+00  0.7388E+00  0.7231E+00  0.7140E+00  0.7020E+00  0.7034E+00  0.7024E+00  0.6823E+00  0.6875E+00  0.6781E+00  0.6665E+00  0.6492E+00  0.6567E+00  0.6401E+00  0.6286E+00  0.6282E+00  0.6125E+00  0.6071E+00  0.6042E+00  0.5908E+00  0.5927E+00  0.5702E+00  0.5791E+00
0.4500E+01  0.8416E+00  0.8616E+00  0.8435E+00  0.8501E+00  0.8310E+00  0.8319E+00  0.8319E+00  0.8293E+00  0.8137E+00  0.8044E+00  0.7942E+00  0.7824E+00  0.7900E+00  0.7693E+00  0.7715E+00  0.7617E+00  0.7544E+00  0.7512E+00  0.7536E+00  0.7471E+00  0.7406E+00  0.7229E+00  0.7149E+00  0.7086E+00  0.7012E+00  0.6799E+00  0.6925E+00  0.6837E+00  0.6850E+00  0.6674E+00  0.6682E+00  0.6648E+00  0.6523E+00  0.6486E+00  0.6483E+00  0.6285E+00
0.5000E+01  0.8814E+00  0.8743E+00  0.8658E+00  0.8859E+00  0.8559E+00  0.8550E+00  0.8580E+00  0.8562E+00  0.8412E+00  0.8372E+00  0.8474E+00  0.8202E+00  0.8059E+00  0.8143E+00  0.8130E+00  0.8020E+00  0.8024E+00  0.7822E+00  0.7714E+00  0.7821E+00  0.7740E+00  0.7606E+00  0.7667E+00  0.7546E+00  0.7401E+00  0.7446E+00  0.7331E+00  0.7181E+00  0.7131E+00  0.7253E+00  0.7246E+00  0.6961E+00  0.6972E+00  0.6855E+00  0.6783E+00  0.6713E+00
0.5500E+01  0.8722E+00  0.8922E+00  0.9025E+00  0.8951E+00  0.8969E+00  0.8887E+00  0.8711E+00  0.8705E+00  0.8656E+00  0.8405E+00  0.8629E+00  0.8278E+00  0.8414E+00  0.8482E+00  0.8430E+00  0.8344E+00  0.8228E+00  0.8204E+00  0.8193E+00  0.8119E+00  0.8145E+00  0.8030E+00  0.7851E+00  0.7775E+00  0.7729E+00  0.7745E+00  0.7690E+00  0.7709E+00  0.7647E+00  0.7514E+00  0.7562E+00  0.7373E+00  0.7330E+00  0.7082E+00  0.7286E+00  0.7206E+00
0.6000E+01  0.8944E+00  0.9086E+00  0.9161E+00  0.9117E+00  0.9089E+00  0.8905E+00  0.8897E+00  0.8791E+00  0.8880E+00  0.8895E+00  0.8813E+00  0.8781E+00  0.8603E+00  0.8788E+00  0.8691E+00  0.8697E+00  0.8515E+00  0.8271E+00  0.8532E+00  0.8444E+00  0.8421E+00  0.8296E+00  0.8188E+00  0.8381E+00  0.8011E+00  0.7783E+00  0.7875E+00  0.8121E+00  0.8080E+00  0.7779E+00  0.7788E+00  0.7832E+00  0.7779E+00  0.7597E+00  0.7599E+00  0.7579E+00
0.6500E+01  0.9231E+00  0.9187E+00  0.9270E+00  0.9167E+00  0.9316E+00  0.9082E+00  0.9040E+00  0.9086E+00  0.9029E+00  0.9158E+00  0.8858E+00  0.8998E+00  0.8939E+00  0.8777E+00  0.8958E+00  0.8710E+00  0.8556E+00  0.8739E+00  0.8563E+00  0.8747E+00  0.8589E+00  0.8555E+00  0.8472E+00  0.8392E+00  0.8365E+00  0.8462E+00  0.8255E+00  0.8352E+00  0.8215E+00  0.8034E+00  0.8006E+00  0.8112E+00  0.7930E+00  0.7868E+00  0.7847E+00  0.7796E+00
0.7000E+01  0.9541E+00  0.9482E+00  0.9219E+00  0.9572E+00  0.9234E+00  0.9107E+00  0.9318E+00  0.9170E+00  0.8934E+00  0.9021E+00  0.9034E+00  0.9052E+00  0.9188E+00  0.9028E+00  0.9200E+00  0.8988E+00  0.9016E+00  0.8954E+00  0.8881E+00  0.8647E+00  0.8776E+00  0.8763E+00  0.8710E+00  0.8675E+00  0.8634E+00  0.8553E+00  0.8475E+00  0.8606E+00  0.8233E+00  0.8394E+00  0.8287E+00  0.8178E+00  0.8137E+00  0.8251E+00  0.8214E+00  0.8062E+00
0.7500E+01  0.9254E+00  0.9437E+00  0.9585E+00  0.9061E+00  0.9537E+00  0.9341E+00  0.9259E+00  0.9294E+00  0.9095E+00  0.9119E+00  0.8996E+00  0.9422E+00  0.8986E+00  0.9163E+00  0.8924E+00  0.9086E+00  0.9281E+00  0.9206E+00  0.9055E+00  0.9004E+00  0.8701E+00  0.8885E+00  0.8909E+00  0.8885E+00  0.8929E+00  0.8738E+00  0.8736E+00  0.8666E+00  0.8521E+00  0.8388E+00  0.8365E+00  0.8554E+00  0.8251E+00  0.8437E+00  0.8433E+00  0.8414E+00
0.8000E+01  0.9406E+00  0.9712E+00  0.9346E+00  0.9778E+00  0.9185E+00  0.9630E+00  0.9437E+00  0.9632E+00  0.9446E+00  0.9455E+00  0.9227E+00  0.9376E+00  0.9630E+00  0.9439E+00  0.9137E+00  0.9017E+00  0.8921E+00  0.8885E+00  0.9085E+00  0.9231E+00  0.9133E+00  0.9308E+00  0.8849E+00  0.8949E+00  0.9012E+00  0.8710E+00  0.9026E+00  0.8790E+00  0.9056E+00  0.8771E+00  0.8758E+00  0.8642E+00  0.8724E+00  0.8619E+00  0.8789E+00  0.8540E+00
0.8500E+01  0.9560E+00  0.9626E+00  0.9503E+00  0.9798E+00  0.9735E+00  0.9565E+00  0.9345E+00  0.9493E+00  0.9618E+00  0.9712E+00  0.9568E+00  0.9504E+00  0.9379E+00  0.9524E+00  0.9534E+00  0.9339E+00  0.9412E+00  0.9170E+00  0.9289E+00  0.9255E+00  0.9276E+00  0.9116E+00  0.9105E+00  0.9145E+00  0.9108E+00  0.9031E+00  0.8971E+00  0.9121E+00  0.8871E+00  0.8819E+00  0.8690E+00  0.8922E+00  0.8877E+00  0.8838E+00  0.8895E+00  0.8734E+00
0.9000E+01  0.9524E+00  0.9735E+00  0.9280E+00  0.9467E+00  0.9865E+00  0.9481E+00  0.9884E+00  0.9441E+00  0.9459E+00  0.9544E+00  0.9653E+00  0.9572E+00  0.9583E+00  0.9400E+00  0.9362E+00  0.9639E+00  0.9205E+00  0.9348E+00  0.9149E+00  0.9333E+00  0.9342E+00  0.9228E+00  0.9370E+00  0.9301E+00  0.9336E+00  0.9091E+00  0.8952E+00  0.9044E+00  0.9122E+00  0.9096E+00  0.8830E+00  0.8980E+00  0.8976E+00  0.8680E+00  0.9055E+00  0.8920E+00
0.9500E+01  0.9796E+00  0.9783E+00  0.9558E+00  0.9533E+00  0.9449E+00  0.9481E+00  0.9455E+00  0.9605E+00  0.9625E+00  0.9529E+00  0.9282E+00  0.9794E+00  0.9395E+00  0.9333E+00  0.9183E+00  0.9590E+00  0.9241E+00  0.9538E+00  0.9315E+00  0.9103E+00  0.9091E+00  0.9330E+00  0.9435E+00  0.9342E+00  0.9279E+00  0.9126E+00  0.9028E+00  0.9218E+00  0.9427E+00  0.9048E+00  0.9180E+00  0.8983E+00  0.8997E+00  0.9074E+00  0.9046E+00  0.8973E+00
